"","date.charac","rounded.idw2.cal","rounded.idw3.cal","rounded.idw4.cal","rounded.idw5.cal","rounded.ok.cal","rounded.ts2.cal","rounded.ts2para.cal","rounded.ts2linear.cal"
"1","01-01-14",0.29,0.278,0.271,0.267,0.29,0.371,0.142,0.192
"2","02-01-14",0.384,0.389,0.392,0.393,0.384,0.351,0.443,0.423
"3","03-01-14",0,0,0,0,0,0,0,0
"4","04-01-14",0.174,0.167,0.163,0.16,0.174,0.223,0.085,0.115
"5","05-01-14",0.42,0.444,0.458,0.465,0.42,0.257,0.717,0.615
"6","06-01-14",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"7","07-01-14",0,0,0,0,0,0,0,0
"8","08-01-14",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"9","09-01-14",4.02,3.849,3.751,3.697,4.02,5.129,1.931,2.637
"10","10-01-14",1.108,1.061,1.033,1.019,1.108,1.413,0.53,0.725
"11","11-01-14",0.174,0.167,0.163,0.16,0.174,0.223,0.085,0.115
"12","12-01-14",0.738,0.719,0.708,0.702,0.738,0.858,0.508,0.586
"13","13-01-14",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"14","14-01-14",0,0,0,0,0,0,0,0
"15","15-01-14",0.126,0.133,0.137,0.14,0.126,0.077,0.215,0.185
"16","16-01-14",1.028,0.997,0.979,0.97,1.028,1.229,0.65,0.778
"17","17-01-14",0.916,0.919,0.92,0.921,0.916,0.889,0.954,0.939
"18","18-01-14",0.126,0.133,0.137,0.14,0.126,0.077,0.215,0.185
"19","19-01-14",2.717,2.795,2.839,2.863,2.717,2.186,3.676,3.347
"20","20-01-14",0.622,0.608,0.6,0.595,0.622,0.709,0.452,0.509
"21","21-01-14",1.896,1.988,2.04,2.068,1.896,1.277,3.024,2.638
"22","22-01-14",0.496,0.475,0.462,0.456,0.496,0.632,0.237,0.324
"23","23-01-14",0.622,0.608,0.6,0.595,0.622,0.709,0.452,0.509
"24","24-01-14",0.174,0.167,0.163,0.16,0.174,0.223,0.085,0.115
"25","25-01-14",0,0,0,0,0,0,0,0
"26","26-01-14",0.174,0.167,0.163,0.16,0.174,0.223,0.085,0.115
"27","27-01-14",0.126,0.133,0.137,0.14,0.126,0.077,0.215,0.185
"28","28-01-14",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"29","29-01-14",0.079,0.077,0.077,0.076,0.079,0.11,0.054,0.066
"30","30-01-14",0.079,0.077,0.077,0.076,0.079,0.11,0.054,0.066
"31","31-01-14",0,0,0,0,0,0,0,0
