"","date.charac","rounded.mae.idw2","rounded.mae.idw3","rounded.mae.idw4","rounded.mae.idw5","rounded.mae.ok","rounded.mae.ts2","rounded.mae.ts2para","rounded.mae.ts2linear"
"1","01-01-14",0,0,0,0,0,0.006,0.021,0.02
"2","02-01-14",0,0,0,0,0,0.002,0.008,0.008
"3","03-01-14",0,0,0,0,0,0,0,0
"4","04-01-14",0,0,0,0,0,0.003,0.013,0.012
"5","05-01-14",0,0,0,0,0,0.011,0.042,0.04
"6","06-01-14",0,0,0,0,0,0,0,0
"7","07-01-14",0,0,0,0,0,0,0,0
"8","08-01-14",0,0,0,0,0,0,0,0
"9","09-01-14",0,0,0,0,0,0.078,0.293,0.275
"10","10-01-14",0,0,0,0,0,0.022,0.081,0.076
"11","11-01-14",0,0,0,0,0,0.003,0.013,0.012
"12","12-01-14",0,0,0,0,0,0.009,0.032,0.03
"13","13-01-14",0,0,0,0,0,0,0,0
"14","14-01-14",0,0,0,0,0,0,0,0
"15","15-01-14",0,0,0,0,0,0.003,0.013,0.012
"16","16-01-14",0,0,0,0,0,0.014,0.053,0.05
"17","17-01-14",0,0,0,0,0,0.001,0.006,0.006
"18","18-01-14",0,0,0,0,0,0.003,0.013,0.012
"19","19-01-14",0,0,0,0,0,0.035,0.136,0.128
"20","20-01-14",0,0,0,0,0,0.006,0.024,0.022
"21","21-01-14",0,0,0,0,0,0.042,0.16,0.15
"22","22-01-14",0,0,0,0,0,0.01,0.036,0.034
"23","23-01-14",0,0,0,0,0,0.006,0.024,0.022
"24","24-01-14",0,0,0,0,0,0.003,0.013,0.012
"25","25-01-14",0,0,0,0,0,0,0,0
"26","26-01-14",0,0,0,0,0,0.003,0.013,0.012
"27","27-01-14",0,0,0,0,0,0.003,0.013,0.012
"28","28-01-14",0,0,0,0,0,0,0,0
"29","29-01-14",0,0,0,0,0,0.001,0.005,0.005
"30","30-01-14",0,0,0,0,0,0.001,0.005,0.005
"31","31-01-14",0,0,0,0,0,0,0,0
