"","date.charac","rounded.rmse.idw2","rounded.rmse.idw3","rounded.rmse.idw4","rounded.rmse.idw5","rounded.rmse.ok","rounded.rmse.ts2","rounded.rmse.ts2para","rounded.rmse.ts2linear"
"1","01-01-14",0,0,0,0,0,0.008,0.023,0.022
"2","02-01-14",0,0,0,0,0,0.003,0.009,0.009
"3","03-01-14",0,0,0,0,0,0,0,0
"4","04-01-14",0,0,0,0,0,0.005,0.014,0.013
"5","05-01-14",0,0,0,0,0,0.015,0.045,0.044
"6","06-01-14",0,0,0,0,0,0,0,0
"7","07-01-14",0,0,0,0,0,0,0,0
"8","08-01-14",0,0,0,0,0,0,0,0
"9","09-01-14",0.001,0,0,0,0.001,0.107,0.314,0.305
"10","10-01-14",0,0,0,0,0,0.03,0.087,0.084
"11","11-01-14",0,0,0,0,0,0.005,0.014,0.013
"12","12-01-14",0,0,0,0,0,0.012,0.034,0.033
"13","13-01-14",0,0,0,0,0,0,0,0
"14","14-01-14",0,0,0,0,0,0,0,0
"15","15-01-14",0,0,0,0,0,0.005,0.014,0.013
"16","16-01-14",0,0,0,0,0,0.019,0.057,0.055
"17","17-01-14",0,0,0,0,0,0.002,0.006,0.006
"18","18-01-14",0,0,0,0,0,0.005,0.014,0.013
"19","19-01-14",0,0,0,0,0,0.049,0.146,0.142
"20","20-01-14",0,0,0,0,0,0.009,0.025,0.025
"21","21-01-14",0,0,0,0,0,0.057,0.171,0.167
"22","22-01-14",0,0,0,0,0,0.013,0.039,0.038
"23","23-01-14",0,0,0,0,0,0.009,0.025,0.025
"24","24-01-14",0,0,0,0,0,0.005,0.014,0.013
"25","25-01-14",0,0,0,0,0,0,0,0
"26","26-01-14",0,0,0,0,0,0.005,0.014,0.013
"27","27-01-14",0,0,0,0,0,0.005,0.014,0.013
"28","28-01-14",0,0,0,0,0,0,0,0
"29","29-01-14",0,0,0,0,0,0.001,0.006,0.005
"30","30-01-14",0,0,0,0,0,0.001,0.006,0.005
"31","31-01-14",0,0,0,0,0,0,0,0
